Filmkode; Dansk titel ; Original titel ; Nationalitet ; Filmens længde i minutter ; Genre ; Censurforhold ; premiere uge ; premiere år ; Antal solgte biografbilletter 
7167;TITANIC;TITANIC;USA;195;Spillefilm, voksne;Tilladt for børn over 11 år;4;1998;1430182
7844;RINGENES HERRE: EVENTYRET OM RINGEN;THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING;USA;179;.;Tilladt for børn over 11 år;51;2001;1332035
1995;OLSEN BANDEN SER RØDT (NR.8);;DANMARK;105;.;Tilladt for alle;40;1976;1201293
8281;RINGENES HERRE - KONGEN VENDER TILBAGE;THE LORD OF THE RINGS: THE RETURN OF THE KING;USA;202;.;Tilladt for børn over 11 år;51;2003;1168068
9855;AVATAR;AVATAR;USA;162;Spillefilm, voksne;Tilladt for børn over 11 år;51;2009;1158592
8073;RINGENES HERRE - DE TO TÅRNE;THE LORD OF THE RINGS: THE TWO TOWERS;USA;180;.;Tilladt for børn over 11 år;51;2002;1123757
288;GØGEREDEN;ONE FLEW OVER THE CUCKOO'S NEST;USA;135;.;Tilladt for børn over 15 år;11;1976;1119769
2393;OLSEN BANDEN DERUDA' (NR.9);;DANMARK;106;.;Tilladt for alle;39;1977;1044801
12613;NO TIME TO DIE;NO TIME TO DIE;STORBRITANNIEN;164;Spillefilm, voksne;Tilladt for børn over 11 år;39;2021;1038379
4116;E.T.;E.T. - THE EXTRA TERRESTRIAL (SE 7908);USA;115;.;Frarådet for børn under 7 år;51;1982;1018923
6586;LØVERNES KONGE (SE 12271);THE LION KING (SE 12271);USA;89;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;46;1994;1009411
2785;GREASE;GREASE;USA;111;.;Tilladt for alle;37;1978;1006102
2889;OLSEN BANDEN GÅR I KRIG (NR.10);;DANMARK;107;.;Tilladt for alle;40;1978;1005759
4963;MIT AFRIKA;OUT OF AFRICA;USA;160;.;Tilladt for alle;8;1986;998953
9686;MÆND DER HADER KVINDER;MÄN SOM HATAR KVINNOR;SVERIGE;150;Spillefilm, voksne;Tilladt for børn over 15 år;9;2009;959369
4872;OP PÅ FARS HAT;;DANMARK;89;.;Tilladt for alle;48;1985;953743
6456;ÅNDERNES HUS;DAS GEISTERHAUS;TYSKLAND;147;.;Tilladt for børn over 11 år;50;1993;940700
3181;OLSEN BANDEN OVERGIVER SIG ALDRIG (NR.11);;DANMARK;111;.;Tilladt for alle;52;1979;934878
12136;TERNET NINJA;;DANMARK;82;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;52;2018;929159
4425;MIDT OM NATTEN;;DANMARK;132;.;Tilladt for børn over 11 år;10;1984;922923
11297;SPECTRE;SPECTRE;STORBRITANNIEN;148;Spillefilm, voksne;Tilladt for børn over 11 år;44;2015;915407
12589;TERNET  NINJA 2;TERNE NINJA 2;DANMARK;86;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;33;2021;911336
1967;FAMILIEN GYLDENKÅL SPRÆNGER BANKEN;;DANMARK;83;.;Tilladt for alle;52;1976;905332
2949;CONVOY;CONVOY;USA;111;.;Tilladt for børn over 11 år;4;1979;890459
6084;DANSER MED ULVE;DANCES WITH WOLVES;USA;180;.;Tilladt for børn over 11 år;19;1991;884100
8982;CASINO ROYALE;CASINO ROYALE;STORBRITANNIEN;145;Spillefilm, voksne;Tilladt for børn over 11 år;47;2006;879561
586;FAR TIL FIRE I BYEN (JULEBAL I NISSELAND);;DANMARK;99;.;Tilladt for alle;46;1956;878112
5974;PRETTY WOMAN;PRETTY WOMAN;USA;119;.;Frarådet for børn under 7 år;32;1990;874223
10577;SKYFALL;SKYFALL;STORBRITANNIEN;143;Spillefilm, voksne;Tilladt for børn over 11 år;43;2012;869999
7857;HARRY POTTER OG DE VISES STEN;HARRY POTTER AND THE SORCERER'S STONE;STORBRITANNIEN;153;.;Tilladt for børn over 11 år;47;2001;862371
6129;KRUMMERNE;;DANMARK;87;.;Tilladt for alle;40;1991;859383
7364;DEN ENESTE ENE;;DANMARK;107;.;Frarådet for børn under 7 år;13;1999;843472
10078;KLOVN - THE MOVIE;;DANMARK;94;Spillefilm, voksne;Tilladt for børn over 11 år;50;2010;838881
2410;AGENT 007-SPIONEN DER ELSKEDE MIG;THE SPY WHO LOVED ME;STORBRITANNIEN;126;.;Tilladt for børn over 11 år;32;1977;832321
7683;ITALIENSK FOR BEGYNDERE;;DANMARK;112;.;Frarådet for børn under 7 år;49;2000;828730
12466;DRUK (2020);DRUK;DANMARK;115;Spillefilm, voksne;Tilladt for børn over 11 år;39;2020;823572
3798;OLSEN BANDENS FLUGT OVER PLANKEVÆRKET (NR.12);;DANMARK;94;.;Tilladt for alle;42;1981;810956
2829;VINTERBØRN;;DANMARK;100;.;Tilladt for alle;35;1978;809544
5189;CROCODILE DUNDEE;CROCODILE DUNDEE;AUSTRALIEN;98;.;Tilladt for børn over 11 år;7;1987;802146
6417;JURASSIC PARK;JURASSIC PARK;USA;128;.;Tilladt for børn over 11 år;37;1993;796161
9791;PIGEN DER LEGEDE MED ILDEN;FLICKAN SOM LEKTE MED ELDEN;SVERIGE;129;Spillefilm, voksne;Tilladt for børn over 15 år;38;2009;786683
3746;AGENT 007 - STRENGT FORTROLIGT;FOR YOUR EYES ONLY;STORBRITANNIEN;128;.;Tilladt for børn over 11 år;33;1981;785558
205;DØDENS GAB;JAWS;USA;125;.;Tilladt for børn over 15 år;52;1975;772353
12784;TOP GUN: MAVERICK;TOP GUN: MAVERICK;USA;131;Spillefilm, voksne;Tilladt for børn over 11 år;21;2022;769240
8085;HARRY POTTER OG HEMMELIGHEDERNES KAMMER;HARRY POTTER AND THE CHAMBER OF SECRETS;STORBRITANNIEN;161;.;Tilladt for børn over 11 år;47;2002;766149
5669;RAIN MAN;RAIN MAN;USA;134;.;Tilladt for alle;11;1989;764166
12067;JOURNAL 64;;DANMARK;118;Spillefilm, voksne;Tilladt for børn over 15 år;40;2018;755808
10423;HVIDSTEN GRUPPEN;;DANMARK;122;Spillefilm, voksne;Tilladt for børn over 11 år;9;2012;755010
10952;FASANDRÆBERNE;;DANMARK;120;Spillefilm, voksne;Tilladt for børn over 15 år;40;2014;753837
4304;AGENT 007 - OCTOPUSSY;OCTOPUSSY;STORBRITANNIEN;131;.;Tilladt for børn over 11 år;33;1983;727393
1978;JULEFROKOSTEN (SE 9883);;DANMARK;87;.;Tilladt for alle;47;1976;727358
11328;STAR WARS: THE FORCE AWAKENS;STAR WARS: THE FORCE AWAKENS;USA;136;Spillefilm, voksne;Tilladt for børn over 11 år;51;2015;723439
5558;CROCODILE DUNDEE II;CROCODILE DUNDEE II;AUSTRALIEN;112;.;Frarådet for børn under 7 år;28;1988;712461
12372;FROST 2;FROZEN 2;USA;103;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;52;2019;706115
3085;AGENT 007 - MOONRAKER;MOONRAKER;STORBRITANNIEN;127;.;Tilladt for børn over 11 år;33;1979;700002
6337;BODYGUARD;BODYGUARD;USA;129;.;Tilladt for børn over 11 år;2;1993;697107
10771;KVINDEN I BURET;;DANMARK;96;Spillefilm, voksne;Tilladt for børn over 15 år;40;2013;694807
11383;FLASKEPOST FRA P;;DANMARK;111;Spillefilm, voksne;Tilladt for børn over 15 år;9;2016;687890
8768;HARRY POTTER OG FLAMMERNES POKAL;HARRY POTTER AND THE GOBLET OF FIRE;STORBRITANNIEN;157;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;46;2005;683265
9551;FLAMMEN & CITRONEN;;DANMARK;137;Spillefilm, voksne;Tilladt for børn over 15 år;13;2008;673764
2701;DISCO FEBER (SATURDAY NIGHT FEVER) (OBS);SATURDAY NIGHT FEVER;USA;120;.;Tilladt for børn over 11 år;16;1978;672091
3800;OLSEN BANDEN OVER ALLE BJERGE (NR.13);;DANMARK;101;.;Tilladt for alle;52;1981;660867
10605;JAGTEN;;DANMARK;115;Spillefilm, voksne;Tilladt for børn over 11 år;2;2013;652555
10283;HARRY POTTER OG DØDSREGALIERNE - DEL 2;HARRY POTTER AND THE DEATHLY HALLOWS: PART 2;STORBRITANNIEN;132;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;28;2011;651700
170;OLSEN-BANDEN PÅ SPORET (NR.7);;DANMARK;106;.;Tilladt for alle;39;1975;648057
9334;HARRY POTTER OG FØNIXORDENEN;HARRY POTTER AND THE ORDER OF THE PHOENIX;STORBRITANNIEN;139;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;28;2007;646375
10527;DE URØRLIGE;INTOUCHABLES;FRANKRIG;112;Spillefilm, voksne;Frarådet for børn under 7 år;47;2012;643693
3083;REND MIG I TRADITIONERNE;;DANMARK;107;.;Tilladt for alle;38;1979;639434
4751;FRÆKKERE END POLITIET TILLADER;BEVERLY HILLS COP;USA;105;.;Tilladt for børn over 15 år;10;1985;638944
7464;TARZAN (SE 1775);TARZAN (SE 1775);USA;89;.;Frarådet for børn under 7 år;45;1999;634407
10509;DEN SKALDEDE FRISØR;;DANMARK;116;Spillefilm, voksne;Tilladt for alle;36;2012;631953
8437;HARRY POTTER OG FANGEN FRA AZKABAN;HARRY POTTER AND THE PRISONER OF AZKABAN;STORBRITANNIEN;142;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;24;2004;630679
7289;OLSEN BANDENS SIDSTE STIK (NR.14);;DANMARK;105;.;Tilladt for alle;51;1998;628801
8869;DA VINCI MYSTERIET;THE DA VINCI CODE;USA;149;Spillefilm, voksne;Tilladt for børn over 15 år;20;2006;624311
4847;AGENT 007 I SKUDLINIEN;A VIEW TO A KILL;STORBRITANNIEN;132;.;Tilladt for børn over 11 år;32;1985;620460
2556;JUNGLEBOGEN (SE 11414);THE JUNGLE BOOK (SE 11414);USA;79;.;Tilladt for alle;52;1968;607123
8885;ICE AGE 2: PÅ TYND IS;ICE AGE: THE MELTDOWN;USA;91;Spillefilm, børn/unge/familie;Tilladt for alle;14;2006;606000
4911;KRONISKE USKYLD,DEN;;DANMARK;103;.;Frarådet for børn under 7 år;40;1985;604799
10796;HOBBITTEN: DRAGEN SMAUGS ØDEMARK;THE HOBBIT: THE DESOLATION OF SMAUG;USA;161;Spillefilm, voksne;Tilladt for børn over 11 år;50;2013;597759
9770;HARRY POTTER OG HALVBLODSPRINSEN;HARRY POTTER AND THE HALF-BLOOD PRINCE;STORBRITANNIEN;153;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;29;2009;597542
3316;KRAMER MOD KRAMER;KRAMER VS.KRAMER;USA;105;.;Tilladt for alle;10;1980;596910
10834;KLASSEFESTEN 2 - BEGRAVELSEN;;DANMARK;95;Spillefilm, voksne;Tilladt for børn over 11 år;6;2014;596774
11009;HOBBITTEN: FEMHÆRESLAGET;THE HOBBIT: THE BATTLE OF FIVE ARMIES;USA;144;Spillefilm, voksne;Tilladt for børn over 11 år;50;2014;593838
12118;A STAR IS BORN;A STAR IS BORN (SE 2524, 4660);USA;136;Spillefilm, voksne;Tilladt for børn over 11 år;49;2018;592366
5898;DET ER MIG DER SNAKKER;LOOK WHOS TALKING;USA;96;.;Frarådet for børn under 7 år;14;1990;590907
12493;RETFÆRDIGHEDENS RYTTERE;RETFÆRDIGHEDENS RYTTERE;DANMARK;116;Spillefilm, voksne;Tilladt for børn over 15 år;47;2020;590389
10111;HARRY POTTER OG DØDSREGALIERNE -DEL 1;HARRY POTTER AND THE DEATHLY HALLOWS: PART 1;STORBRITANNIEN;147;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;46;2010;587923
9250;PIRATES OF THE CARIBBEAN: VED VERDENS ENDE;PIRATES OF THE CARIBBIAN: AT WORLD'S END;USA;171;Spillefilm, voksne;Tilladt for børn over 11 år;21;2007;586767
7861;EN KORT EN LANG;;DANMARK;101;.;Frarådet for børn under 7 år;46;2001;584067
5806;DANSEN MED REGITZE;;DANMARK;87;.;Frarådet for børn under 7 år;46;1989;584035
5355;PELLE EROBREREN;;DANMARK;157;.;Tilladt for børn over 11 år;52;1987;581059
2637;MIG OG CHARLY;;DANMARK;103;.;Tilladt for alle;11;1978;579463
5139;VALHALLA (SE 12322);;DANMARK;79;.;Frarådet for børn under 7 år;41;1986;578830
1957;BJERGKØBING GRAND PRIX;FLÅKLYPA GRAND PRIX;NORGE;88;Spillefilm, børn/unge/familie;Tilladt for alle;41;1976;578071
4458;NEVER SAY NEVER AGAIN;NEVER SAY NEVER AGAIN;STORBRITANNIEN;134;.;Tilladt for børn over 11 år;3;1984;577408
7428;STAR WARS: EPISODE 1 - DEN USYNLIGE FJENDE;THE PHANTOM MENACE;USA;133;.;Tilladt for børn over 11 år;33;1999;576665
7790;ANJA & VIKTOR;;DANMARK;89;.;Tilladt for alle;31;2001;572052
11878;STAR WARS: THE LAST JEDI;STAR WARS: THE LAST JEDI;USA;150;Spillefilm, voksne;Tilladt for børn over 11 år;50;2017;571966
10784;FROST;FROZEN;USA;108;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;52;2013;563845
5672;FISKEN DE KALDTE WANDA;A FISH CALLED WANDA;STORBRITANNIEN;108;.;Tilladt for børn over 11 år;5;1989;562391
12218;AVENGERS: ENDGAME;AVENGERS: ENDGAME;USA;181;Spillefilm, voksne;Tilladt for børn over 11 år;17;2019;558364
9620;JAMES BOND - QUANTUM OF SOLACE;QUANTUM OF SOLACE;STORBRITANNIEN;107;Spillefilm, voksne;Tilladt for børn over 11 år;45;2008;558145
8481;KONGEKABALE;;DANMARK;103;Spillefilm, voksne;Frarådet for børn under 7 år;40;2004;552251
12658;SPIDER-MAN: NO WAY HOME;SPIDER-MAN: NO WAY HOME;USA;148;Spillefilm, voksne;Tilladt for børn over 11 år;50;2021;549623
4649;POLITISKOLEN;POLICE ACADEMY;USA;97;.;Tilladt for alle;36;1984;548280
1997;PIGER I TRØJEN 2.;;DANMARK;101;.;Tilladt for alle;42;1976;547422
434;BORTE MED BLÆSTEN;GONE WITH THE WIND;USA;231;.;Tilladt for børn over 11 år;37;1958;547343
6794;GOLDENEYE;GOLDENEYE;STORBRITANNIEN;131;.;Tilladt for børn over 15 år;4;1996;545604
4360;UANSTÆNDIGE, DE;;DANMARK;93;.;Tilladt for alle;40;1983;544851
9324;SHREK DEN TREDJE;SHREK THE THIRD;USA;93;Spillefilm, børn/unge/familie;Tilladt for alle;35;2007;544778
5771;INDIANA JONES OG DET SIDSTE KORSTOG;INDIANA JONES AND THE LAST CRUSADE;USA;127;.;Tilladt for børn over 11 år;37;1989;543098
5305;THE LIVING DAYLIGHTS - SPIONER DØR VED DAGGRY;THE LIVING DAYLIGHTS;STORBRITANNIEN;130;.;Tilladt for børn over 11 år;33;1987;540693
4170;TOOTSIE;TOOTSIE;USA;116;.;Tilladt for alle;10;1983;540586
6303;KRUMMERNE 2 - STAKKELS KRUMME;;DANMARK;95;.;Tilladt for alle;49;1992;537429
6597;FORREST GUMP;FORREST GUMP;USA;143;.;Tilladt for børn over 11 år;40;1994;533755
10520;THE DARK KNIGHT RISES;THE DARK KNIGHT RISES;USA;164;Spillefilm, voksne;Tilladt for børn over 11 år;29;2012;530978
9543;INDIANA JONES OG KRYSTALKRANIETS KONGERIGE;INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL;USA;123;Spillefilm, voksne;Tilladt for børn over 11 år;21;2008;529269
5100;WALTER OG CARLO (2) - YES DET ER FAR;;DANMARK;84;.;Tilladt for alle;48;1986;526493
8083;MIN SØSTERS BØRN I SNEEN;;DANMARK;84;.;Tilladt for alle;41;2002;525951
11543;KLASSEFESTEN 3: DÅBEN;;DANMARK;101;Spillefilm, voksne;Frarådet for børn under 7 år;40;2016;524853
6437;ALADDIN (SE 12239);ALADDIN (SE 12239);USA;91;.;Frarådet for børn under 7 år;46;1993;522382
3896;JAGTEN PÅ DEN FORSVUNDNE SKAT;RAIDERS OF THE LOST ARK;USA;116;.;Tilladt for børn over 15 år;2;1982;521650
7509;KÆRLIGHED VED FØRSTE HIK;;DANMARK;84;.;Tilladt for alle;41;1999;521339
8960;PIRATES OF THE CARIBBEAN: DØD MANDS KISTE;PIRATES OF THE CARIBBEAN: DEAD MAN'S CHEST;USA;151;Spillefilm, voksne;Tilladt for børn over 11 år;28;2006;521145
2525;STJERNEKRIGEN;STAR WARS;USA;122;.;Tilladt for børn over 11 år;52;1977;520020
5777;LICENCE TO KILL;LICENCE TO KILL;STORBRITANNIEN;133;.;Tilladt for børn over 15 år;27;1989;518988
3810;UD AT KØRE MED DE SKØRE;THE CANNON BALL RUN;USA;95;.;Tilladt for alle;42;1981;518852
10050;INCEPTION;INCEPTION;USA;148;Spillefilm, voksne;Over 15 år, ikke censureret;30;2010;517280
9804;ICE AGE 3: DINOSAURERNE KOMMER;ICE AGE: DAWN OF THE DINOSAURS;USA;94;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;27;2009;517200
4641;INDIANA JONES OG TEMPLETS FORBANDELSE;INDIANA JONES AND THE TEMPLE OF DOOM;USA;118;.;Tilladt for børn over 11 år;29;1984;516757
10393;EN KONGELIG AFFÆRE;;DANMARK;137;Spillefilm, voksne;Tilladt for børn over 11 år;13;2012;515921
5595;JA'DAK FILMEN - JYDEKOMPAGNIET;;DANMARK;90;.;Tilladt for alle;52;1988;512472
5111;FLAMBEREDE HJERTER;;DANMARK;115;.;Tilladt for børn over 11 år;52;1986;508765
12314;JOKER (2019);JOKER (2019);USA;122;Spillefilm, voksne;Tilladt for børn over 15 år;40;2019;507265
8794;FAR TIL FIRE GIR ALDRIG OP;;DANMARK;91;Spillefilm, børn/unge/familie;Tilladt for alle;41;2005;506770
7989;ELSKER DIG FOR EVIGT;;DANMARK;114;.;Tilladt for børn over 11 år;36;2002;506493
10314;KLASSEFESTEN (SE 7954);;DANMARK;95;Spillefilm, voksne;Tilladt for børn over 11 år;41;2011;505635
9833;OP;UP;USA;106;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;40;2009;503893
4652;TRO, HÅB OG KÆRLIGHED;;DANMARK;107;.;Tilladt for børn over 11 år;52;1984;503675
9851;LUFTKASTELLET DER BLEV SPRÆNGT;LUFTSLOTTET SOM SPRÄNGDES;SVERIGE;148;Spillefilm, voksne;Tilladt for børn over 15 år;48;2009;501834
11271;KLOVN FOREVER;;DANMARK;98;Spillefilm, voksne;Tilladt for børn over 15 år;39;2015;499996
9730;ENGLE OG DÆMONER;ANGELS & DEMONS;USA;138;Spillefilm, voksne;Tilladt for børn over 15 år;20;2009;494472
12271;LØVERNES KONGE ( SE 6586);THE LION KING (SE 6586);USA;118;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;29;2019;492312
11213;INDERST INDE;INSIDE OUT (SE 287);USA;102;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;35;2015;487910
8347;BJØRNE BRØDRE;BROTHER BEAR;USA;88;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;6;2004;487442
4587;AMADEUS;AMADEUS;USA;160;.;Frarådet for børn under 7 år;44;1984;485096
6099;ROBIN HOOD - DEN FREDLØSE (SE 1163);ROBIN HOOD: PRINCE OF THE THIEVES;USA;143;.;Tilladt for børn over 15 år;34;1991;484203
12089;BOHEMIAN RHAPSODY;BOHEMIAN RHAPSODY;STORBRITANNIEN;134;Spillefilm, voksne;Over 15 år, ikke censureret;44;2018;484058
7143;TOMORROW NEVER DIES;TOMORROW NEVER DIES;USA;119;.;Tilladt for børn over 15 år;51;1997;479153
8315;FIND NEMO;FINDING NEMO;USA;105;.;Frarådet for børn under 7 år;46;2003;473853
10273;DIRCH;;DANMARK;116;Spillefilm, voksne;Tilladt for børn over 11 år;34;2011;473042
12879;AVATAR 2: THE WAY OF WATER;AVATAR 2: THE WAY OF WATER;USA;192;Spillefilm, voksne;Tilladt for børn over 11 år;50;2022;469389
8468;SHREK 2;SHREK 2;USA;93;Spillefilm, børn/unge/familie;Tilladt for alle;36;2004;468892
8781;NARNIA - LØVEN, HEKSEN OG GARDEROBESKABET;THE CHRONICLES OF NARNIA: THE LION, THE WITCH AND;USA;141;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;51;2005;468715
6568;FIRE BRYLLUPPER OG EN BEGRAVELSE;FOUR WEDDINGS AND A FUNERAL;STORBRITANNIEN;118;.;Tilladt for alle;31;1994;467729
12805;BAMSE;BAMSE;DANMARK;92;Spillefilm, voksne;Frarådet for børn under 7 år;34;2022;467179
8487;MIN SØSTERS BØRN I ÆGYPTEN;;DANMARK;79;Spillefilm, børn/unge/familie;Tilladt for alle;41;2004;466485
7124;DET ER BARE MÆND;THE FULL MONTY;STORBRITANNIEN;92;.;Tilladt for alle;48;1997;466400
6490;NATTEVAGTEN;;DANMARK;107;.;Over 15 år, ikke censureret;8;1994;465529
12308;DOWNTON ABBEY;DOWNTON ABBEY;STORBRITANNIEN;122;Spillefilm, voksne;Tilladt for alle;39;2019;464626
6942;INDEPENDENCE DAY;INDEPENDENCE DAY (SE 4309);USA;146;.;Tilladt for børn over 11 år;41;1996;464382
12313;JAGTSÆSON;;DANMARK;92;Spillefilm, voksne;Frarådet for børn under 7 år;40;2019;463468
12291;SER DU MÅNEN, DANIEL;;DANMARK;139;Spillefilm, voksne;Tilladt for børn over 15 år;35;2019;463256
10322;TINTIN: ENHJØRNINGENS HEMMELIGHED;THE ADVENTURES OF TINTIN: THE SECRET OF THE UNICORN;USA;110;Spillefilm, voksne;Frarådet for børn under 7 år;43;2011;459772
11197;JURASSIC WORLD;JURASSIC WORLD;USA;124;Spillefilm, voksne;Tilladt for børn over 11 år;24;2015;458479
8126;DIE ANOTHER DAY;DIE ANOTHER DAY;STORBRITANNIEN;133;.;Tilladt for børn over 11 år;4;2003;458462
4020;VARME DRENGE;PORKY'S;SYD&MELLEMAM UOPLYST;98;.;Tilladt for alle;29;1982;458227
7946;STAR WARS: EPISODE II - KLONERNES ANGREB;STAR WARS: EPISODE II - ATTACK OF THE CLONES;USA;142;.;Tilladt for børn over 11 år;20;2002;458194
6765;KUN EN PIGE;;DANMARK;171;.;Frarådet for børn under 7 år;50;1995;456718
5325;KAMPEN OM DEN RØDE KO;;DANMARK;83;.;Tilladt for alle;48;1987;455806
3284;FUNNY PEOPLE (SE 9822);FUNNY PEOPLE (SE 9822);AFRIKA UOPLYST;92;.;Tilladt for alle;10;1980;454648
588;FAR TIL FIRE I SNEEN;;DANMARK;103;.;Tilladt for alle;45;1954;454642
10581;HOBBITTEN: EN UVENTET REJSE;THE HOBBIT: AN UNEXPECTED JOURNEY;USA;169;Spillefilm, voksne;Tilladt for børn over 11 år;50;2012;453404
9547;MAMMA MIA - THE MOVIE;MAMMA MIA;STORBRITANNIEN;109;Spillefilm, voksne;Tilladt for alle;28;2008;452019
4896;RAMBO - FIRST BLOOD 2;RAMBO - FIRST BLOOD PART 2;USA;97;.;Over 15 år, ikke censureret;43;1985;451252
7511;TOY STORY 2;TOY STORY 2;USA;93;.;Frarådet for børn under 7 år;6;2000;451186
2311;AGENT 69 JENSEN - I SKORPIONENS TEGN;;DANMARK;93;.;Over 15 år, ikke censureret;29;1977;447358
6142;HOT SHOTS;HOT SHOTS;USA;85;.;Tilladt for børn over 11 år;52;1991;447332
5307;FRÆKKERE END POLITIET TILLADER 2;BEVERLY HILLS COP II;USA;102;.;Tilladt for børn over 11 år;39;1987;445984
11248;MINIONS;MINIONS;USA;91;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;27;2015;445768
5335;DIRTY DANCING;DIRTY DANCING;USA;101;.;Tilladt for børn over 11 år;52;1987;445444
3677;REKRUT BENJAMIN;PRIVATE BENJAMIN;USA;111;.;Tilladt for alle;20;1981;444136
10026;HÆVNEN;;DANMARK;119;Spillefilm, voksne;Tilladt for børn over 15 år;34;2010;443615
927;LADY OG VAGABONDEN (TEGNEFILM);LADY AND THE TRAMP;USA;76;.;Tilladt for alle;52;1955;441057
9563;BLÅ MÆND;;DANMARK;83;Spillefilm, voksne;Tilladt for alle;33;2008;438047
8641;STAR WARS: EPISODE III - SITH -FYRSTERNES HÆVN;STAR WARS: EPISODE III - REVENGE OF THE SITH;USA;140;Spillefilm, voksne;Tilladt for børn over 11 år;20;2005;437656
9597;THE DARK KNIGHT;THE DARK KNIGHT;USA;153;Spillefilm, voksne;Tilladt for børn over 15 år;30;2008;437485
7700;BLINKENDE LYGTER;;DANMARK;112;.;Tilladt for børn over 15 år;44;2000;436060
6009;DEN LILLE HAVFRUE;THE LITTLE MERMAID;USA;83;.;Frarådet for børn under 7 år;46;1990;434256
6231;DØDBRINGENDE VÅBEN 3;LETHAL WEAPON 3;USA;118;.;Over 15 år, ikke censureret;26;1992;433552
9339;RATATOUILLE;RATATOUILLE;USA;11;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;40;2007;432821
6929;KLOKKEREN FRA NOTRE DAME (SE 0866,1693);THE HUNCK BACK OF NOTRE DAME (SE 1693);USA;91;.;Frarådet for børn under 7 år;46;1996;430948
3406;LIFE OF BRIAN - ET HERRENS LIV (MONTHY PYTHONS);LIFE OF BRIAN;STORBRITANNIEN;94;.;Tilladt for børn over 11 år;35;1980;430849
7280;MULAN;MULAN;USA;88;.;Frarådet for børn under 7 år;46;1998;428194
12367;STAR WARS: THE RISE OF SKYWALKER;STAR WARS: THE RISE OF SKYWALKER;USA;155;Spillefilm, voksne;Tilladt for børn over 11 år;51;2019;426814
8728;NYNNE;;DANMARK;93;Spillefilm, voksne;Tilladt for alle;43;2005;425920
12392;KLOVN THE FINAL;KLOVN THE FINAL;DANMARK;95;Spillefilm, voksne;Tilladt for børn over 11 år;5;2020;425109
7933;SPIDER-MAN;SPIDER-MAN (SE 3195);USA;121;.;Tilladt for børn over 11 år;26;2002;424602
8448;BRØDRE (SE 11361);;DANMARK;116;Spillefilm, voksne;Tilladt for børn over 15 år;35;2004;424542
11600;ROGUE ONE: A STAR WARS STORY;ROGUE ONE: A STAR WARS STORY;USA;133;Spillefilm, voksne;Tilladt for børn over 11 år;50;2016;423899
591;FAR TIL FIRE OG ULVEUNGERNE;;DANMARK;93;.;Tilladt for alle;46;1958;421813
9951;FAR TIL FIRE - PÅ JAPANSK;;DANMARK;86;Spillefilm, børn/unge/familie;Tilladt for alle;5;2010;418638
5078;TOP GUN - DE BEDSTE AF DE BEDSTE;TOP GUN;USA;110;.;Tilladt for børn over 11 år;32;1986;415190
7856;MIN SØSTERS BØRN (SE 1012);;DANMARK;77;.;Tilladt for alle;41;2001;413153
6300;SKØNHEDEN OG UDYRET (SE 4359, 11681);BEAUTY AND THE BEAST (SE 11681);USA;85;.;Frarådet for børn under 7 år;47;1992;411795
6970;FRØKEN SMILLAS FORNEMMELSE FOR SNE;;DANMARK;122;.;Tilladt for børn over 15 år;9;1997;411654
7497;AGENT 007 - THE WORLD IS NOT ENOUGH;THE WORLD IS NOT ENOUGH;STORBRITANNIEN;128;.;Tilladt for børn over 11 år;49;1999;411010
592;FAR TIL FIRE PÅ BORNHOLM;;DANMARK;104;.;Tilladt for alle;52;1959;408867
10202;PIRATES OF THE CARRIBBEAN: I UKENDT FARVAND;PIRATES OF THE CARRIBBEAN: ON STRANGER TIDES;USA;138;Spillefilm, voksne;Tilladt for børn over 11 år;20;2011;408717
8811;DRØMMEN;;DANMARK;110;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;12;2006;407850
12171;GREEN BOOK;GREEN BOOK;USA;129;Spillefilm, voksne;Frarådet for børn under 7 år;8;2019;406666
8201;THE MATRIX RELOADED;THE MATRIX RELOADED;USA;138;.;Tilladt for børn over 11 år;21;2003;406402
10554;FAR TIL FIRE - TIL SØS;;DANMARK;80;Spillefilm, børn/unge/familie;Tilladt for alle;40;2012;406209
2400;PIGER TIL SØS;;DANMARK;106;.;Tilladt for alle;37;1977;405387
