Filmkode; Dansk titel ; Original titel ; Nationalitet ; Filmens længde i minutter ; Genre ; Censurforhold ; premiere uge ; premiere år ; Antal solgte biografbilletter 
1537;RØDE HESTE, DE;;DANMARK;108;.;Tilladt for alle;2;1950;72441
3576;NI TIL FEM;NINE TO FIVE;USA;110;.;Tilladt for børn over 11 år;13;1981;72410
6994;DAYLIGHT;DAYLIGHT;USA;116;.;Tilladt for børn over 15 år;4;1997;72334
3399;OLYMPIADESHOW;;USA;74;.;Tilladt for alle;25;1972;72195
6552;KLIENTEN;THE CLIENT;USA;121;.;Tilladt for børn over 15 år;35;1994;72131
2212;SOLDATERKAMMERATER;;DANMARK;82;.;Tilladt for alle;42;1958;72052
11212;ANT-MAN;ANT-MAN;USA;117;Spillefilm, voksne;Tilladt for børn over 11 år;30;2015;72052
5098;BALLERUP BOULEVARD;;DANMARK;79;.;Tilladt for alle;40;1986;71970
7311;A PERFECT MURDER - ET PERFEKT MORD;A PERFECT MURDER;USA;107;.;Over 15 år, ikke censureret;41;1998;71964
4356;POT OG PANDE;STILL SMOKIN';USA;92;.;Over 15 år, ikke censureret;41;1983;71926
9736;THE YOUNG VICTORIA;THE YOUNG VICTORIA;STORBRITANNIEN;106;Spillefilm, voksne;Frarådet for børn under 7 år;23;2009;71906
203;DUNDERKLUMPEN;DUNDERKLUMPEN;SVERIGE;83;.;Tilladt for alle;48;1975;71787
9974;THE A-TEAM;THE A-TEAM;USA;119;Spillefilm, voksne;Tilladt for børn over 15 år;23;2010;71773
10759;ELYSIUM;ELYSIUM;USA;110;Spillefilm, voksne;Tilladt for børn over 15 år;33;2013;71698
4900;GOONIERNE;THE GOONIES;USA;114;.;Tilladt for børn over 11 år;41;1985;71683
8040;THE SUM OF ALL FEARS;THE SUM OF ALL FEARS;USA;124;.;Tilladt for børn over 11 år;41;2002;71655
9929;NINE;NINE;USA;118;Spillefilm, voksne;Tilladt for alle;2;2010;71631
8901;THE FAST AND FURIOUS TOKOY DRIFT;THE FAST AND FURIOUS: TOKOY DRIFT;USA;105;Spillefilm, voksne;Tilladt for børn over 11 år;24;2006;71620
2481;FREMMEDLEGIONENS HELTE;MARCH OR DIE;STORBRITANNIEN;108;.;Tilladt for børn over 11 år;46;1977;71577
75;CARAMBOLA GI'R DEN EN SKALLE   OGSÅ: CARAMBOLA;CARAMBOLA;ITALIEN;102;.;Tilladt for alle;21;1975;71535
2812;SIDSTE NAT PÅ STATION 13 (SE 8627);ASSAULT ON PRECINCT 13 (SE 8627);USA;91;.;Over 15 år, ikke censureret;36;1978;71429
932;LANGT NEDE I HALSEN;DEEP THROAT;USA;63;.;Over 15 år, ikke censureret;19;1973;71398
12567;SPACE JAM: A NEW LEGACY;SPACE JAM: A NEW LEGACY;USA;120;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;28;2021;71394
5183;UDEN HÆMNINGER;NO MERCY;USA;112;.;Over 15 år, ikke censureret;10;1987;71389
11763;TULIPANFEBER;TULIP FEVER;STORBRITANNIEN;105;Spillefilm, voksne;Tilladt for børn over 11 år;28;2017;71386
620;FLÅDENS FRISKE FYRE OBS.;ALL ASHORE;USA;80;.;Tilladt for alle;26;1953;71375
10323;Peter Plys - Nye eventyr i Hundredemeterskoven;WINNIE THE POOH;USA;63;Spillefilm, børn/unge/familie;Tilladt for alle;41;2011;71356
5022;FOR ENHVER PRIS;PLENTY;USA;125;.;Frarådet for børn under 7 år;34;1986;71340
9228;ET SIKKERT HIT - MUSIC AND LYRICS;MUSIC AND LYRICS;USA;104;Spillefilm, voksne;Tilladt for alle;16;2007;71308
3279;NITTEN EENOGFYRRE-UNDSKYLD,HVOR LIGGER HOLLYWOOD;1941;USA;119;.;Tilladt for alle;12;1980;71224
3312;HURRA FOR HERBIE;THE LOVE BUG;USA;108;.;Tilladt for alle;37;1969;71222
11237;GULDKYSTEN;;DANMARK;115;Spillefilm, voksne;Tilladt for børn over 15 år;27;2015;71074
12582;THE SUICIDE SQUAD;THE SUICIDE SQUAD;USA;132;Spillefilm, voksne;Tilladt for børn over 15 år;31;2021;71064
3950;BANANA JOE;BANANA JOE;ITALIEN;97;.;Tilladt for alle;19;1982;71018
9260;FANTASTIC FOUR: RISE OF THE SILVER SURFER;FANTASTIC FOUR: RISE OF THE SILVER SURFER;USA;92;Spillefilm, voksne;Tilladt for børn over 11 år;24;2007;70901
10559;AMOUR;AMOUR;ØSTRIG;123;Spillefilm, voksne;Tilladt for børn over 11 år;51;2012;70887
8472;COLLATERAL;COLLATERAL;USA;123;Spillefilm, voksne;Tilladt for børn over 15 år;44;2004;70682
12395;DRØMMEBYGGERNE;DRØMMEBYGGERNE;DANMARK;81;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;6;2020;70646
57;SKØRE FOLKEVOGN, DEN;EIL KÆFER AUF EXTRATOUR;TYSKLAND;95;.;Tilladt for alle;8;1975;70547
5575;ASTERIX OG BRITERNE;ASTERIX CHEZ LES BRETONS;FRANKRIG;79;.;Tilladt for alle;41;1988;70544
7941;UNFAITHFUL;UNFAITHFUL;USA;124;.;Tilladt for børn over 15 år;23;2002;70499
